Número de GRU;Valor Cobrado (R$);Valor Pago (R$);Data Vencimento;Data Pagamento;Ano Débito;Trimestre;UF;Última Atualização Relatório
00000000001106149;225;276,8;30/12/2005;27/03/2006;2005;4;AC;02/04/2024 20:00
00000000001206792;180;221,4;30/12/2005;28/03/2006;2005;4;AC;02/04/2024 20:00
00000000001206803;180;221,4;30/12/2005;24/03/2006;2005;4;AC;02/04/2024 20:00
00000000001207977;225;276,8;30/12/2005;27/03/2006;2005;4;AC;02/04/2024 20:00
00000000001210409;225;276,8;30/12/2005;31/03/2006;2005;4;AC;02/04/2024 20:00
00000000001220707;180;223,2;30/12/2005;17/04/2006;2005;4;AC;02/04/2024 20:00
00000000001221764;225;279;30/12/2005;28/04/2006;2005;4;AC;02/04/2024 20:00
00000000001221771;225;279;30/12/2005;28/04/2006;2005;4;AC;02/04/2024 20:00
00000000001472550;180;225;30/12/2005;31/05/2006;2005;4;AC;02/04/2024 20:00
00000000001566239;180;226,8;30/12/2005;27/06/2006;2005;4;AC;02/04/2024 20:00
00000000001566248;450;567;30/12/2005;30/06/2006;2005;4;AC;02/04/2024 20:00
00000000001567085;50;63;30/12/2005;30/06/2006;2005;4;AC;02/04/2024 20:00
00000000001567227;225;283,5;30/12/2005;30/06/2006;2005;4;AC;02/04/2024 20:00
00000000001567254;50;63;30/12/2005;26/06/2006;2005;4;AC;02/04/2024 20:00
00000000002228166;225;285,8;30/12/2005;06/07/2006;2005;4;AC;02/04/2024 20:00
00000000002275632;450;576;30/12/2005;02/08/2006;2005;4;AC;02/04/2024 20:00
00000000002275745;450;576;30/12/2005;02/08/2006;2005;4;AC;02/04/2024 20:00
00000000002276417;225;288;30/12/2005;21/08/2006;2005;4;AC;02/04/2024 20:00
00000000002282908;450;576;30/12/2005;23/08/2006;2005;4;AC;02/04/2024 20:00
00000000002282990;225;288;30/12/2005;08/08/2006;2005;4;AC;02/04/2024 20:00
00000000010084050;450;571,5;30/12/2005;21/08/2006;2005;4;AC;02/04/2024 20:00
00000000010119591;450;576;30/12/2005;14/09/2006;2005;4;AC;02/04/2024 20:00
00000000010150611;180;232,2;30/12/2005;29/09/2006;2005;4;AC;02/04/2024 20:00
00000000010280034;50;66;30/12/2005;13/12/2006;2005;4;AC;02/04/2024 20:00
00000000010292713;180;237,6;30/12/2005;21/12/2006;2005;4;AC;02/04/2024 20:00
00000000010845689;225;301,5;30/12/2005;28/02/2007;2005;4;AC;02/04/2024 20:00
00000000010939570;50;68;30/12/2005;13/04/2007;2005;4;AC;02/04/2024 20:00
00000000011033780;225;308,2;30/12/2005;04/05/2007;2005;4;AC;02/04/2024 20:00
00000000011064092;360;44,5;30/12/2005;17/04/2007;2005;4;AC;02/04/2024 20:00
00000000011127752;50;68,5;30/12/2005;11/05/2007;2005;4;AC;02/04/2024 20:00
00000000011382694;180;469,1;30/12/2005;31/07/2007;2005;4;AC;02/04/2024 20:00
00000000011420213;225;31,2;30/12/2005;31/08/2007;2005;4;AC;02/04/2024 20:00
00000000011597691;225;319,5;31/12/2005;25/09/2007;2005;4;AC;02/04/2024 20:00
00000000012081973;180;264,6;30/12/2005;10/03/2008;2005;4;AC;02/04/2024 20:00
00000000012505610;180;262,8;30/12/2005;20/02/2008;2005;4;AC;02/04/2024 20:00
00000000012544089;180;262,8;30/12/2005;29/02/2008;2005;4;AC;02/04/2024 20:00
00000000014830114;900;1.422;30/12/2005;12/02/2009;2005;4;AC;02/04/2024 20:00
00000000016312382;50;84;30/12/2005;01/12/2009;2005;4;AC;02/04/2024 20:00
00000000016579373;50;85;30/12/2005;10/02/2010;2005;4;AC;02/04/2024 20:00
00000000017520638;225;389,2;30/12/2005;21/05/2010;2005;4;AC;02/04/2024 20:00
00000000017520717;225;389,2;30/12/2005;21/05/2010;2005;4;AC;02/04/2024 20:00
00000000017643626;450;760,3;30/12/2005;28/06/2010;2005;4;AC;02/04/2024 20:00
00000000018628739;450;204,8;30/12/2005;09/08/2011;2005;4;AC;02/04/2024 20:00
00000000019124151;450;209,2;30/12/2005;25/01/2012;2005;4;AC;02/04/2024 20:00
00000000019230424;450;211,1;30/12/2005;27/02/2012;2005;4;AC;02/04/2024 20:00
00000000019371537;450;211,9;30/12/2005;30/03/2012;2005;4;AC;02/04/2024 20:00
00000000019536373;450;212,7;30/12/2005;27/04/2012;2005;4;AC;02/04/2024 20:00
00000000021414804;225;510,6;30/12/2005;31/10/2013;2005;4;AC;02/04/2024 20:00
