,Municipio,Setor,Numero de empresas,Mediana_Ecoeficiencia,Cod Municipio
1884,JUATUBA,Agriculture,18,427649.5414634372,3136652
1885,JUATUBA,Business,10,6907.966703296703,3136652
1886,JUATUBA,Mining,14,36682.3056105564,3136652
1887,JUIZ DE FORA,Manufacturing,1436,287835.9302622181,3136702
1888,JUIZ DE FORA,Construction,61,175926.70166666666,3136702
1889,JUIZ DE FORA,Trade,370,294698.1678611111,3136702
1890,JUIZ DE FORA,Utilities,21,51277.91192509517,3136702
1891,JUIZ DE FORA,Government,28,632776.3065720809,3136702
1892,JUIZ DE FORA,Transport,228,152837.86599567925,3136702
1893,JUIZ DE FORA,OtherServices,53,158929.26126126124,3136702
1894,JUIZ DE FORA,Business,28,2656166.2,3136702
1895,JUIZ DE FORA,Mining,38,396534.955,3136702
1896,JURUAIA,Manufacturing,24,18042.57155756013,3136900
1897,JURUAIA,Trade,17,185712.3208587963,3136900
1898,LAGAMAR,Mining,44,137563.841,3137106
1899,LAGOA DA PRATA,Manufacturing,270,36523.324325,3137205
1900,LAGOA DA PRATA,Trade,44,498499.8794647006,3137205
1901,LAGOA DA PRATA,OtherServices,24,1535.729414445858,3137205
1902,LAGOA DOURADA,Manufacturing,14,212871.80191124068,3137403
1903,LAGOA DOURADA,Trade,23,20596.103917125285,3137403
1904,LAGOA FORMOSA,Trade,5,7521359.009078626,3137502
1905,LAGOA GRANDE,Manufacturing,18,251467.21308420392,2608750
1906,LAGOA GRANDE,Agriculture,8,19386.432631578948,2608750
1907,LAJINHA,Manufacturing,8,9347526.472916666,3137700
1908,LAMBARI,Manufacturing,21,3817665.943684211,3137809
1909,LAMBARI,Trade,8,1394.2440589569162,3137809
1910,LAMBARI,Mining,24,3895023.473967684,3137809
1911,LASSANCE,Trade,5,17.707760416666666,3138104
1912,LAVRAS,Manufacturing,245,767663.8925,3138203
1913,LAVRAS,Construction,7,114.18519370860928,3138203
1914,LAVRAS,Trade,257,136340.0363761175,3138203
1915,LAVRAS,Utilities,14,697721.067,3138203
1916,LAVRAS,Transport,16,79678.42784313727,3138203
1917,LAVRAS,Business,4,1275132.2121092204,3138203
1918,LAVRAS,Mining,29,384550.78895496274,3138203
1919,LEANDRO FERREIRA,Mining,5,7616816.5171503965,3138302
1920,LEOPOLDINA,Manufacturing,134,513631.14857981226,3138401
1921,LEOPOLDINA,Construction,13,380.0829545454545,3138401
1922,LIBERDADE,Trade,16,34906.009947729464,3138500
1923,LIMA DUARTE,Manufacturing,68,9875047.341362126,3138609
1924,LIMA DUARTE,Trade,8,3257723.4166666665,3138609
1925,LIMEIRA DO OESTE,Manufacturing,88,145034.76612903227,3138625
1926,LIMEIRA DO OESTE,Trade,15,1097570.02725664,3138625
1927,LUISBURGO,Trade,19,2884796.0337171056,3138674
1928,LUISLANDIA,Trade,6,140070738.51438436,3138682
1929,LUMINARIAS,Trade,6,687741746.7679421,3138708
1930,LUZ,Manufacturing,29,271303.3601731081,3138807
1931,LUZ,Trade,20,159046.87854007306,3138807
1932,MACHADO,Manufacturing,106,3452541.111111111,3139003
1933,MACHADO,Trade,12,8751270.416666668,3139003
1934,MACHADO,Utilities,3,322647.29071428574,3139003
1935,MACHADO,Business,3,189527.6075085324,3139003
1936,MADRE DE DEUS DE MINAS,Manufacturing,8,31498.12866929348,3139102
1937,MALACACHETA,Manufacturing,14,15805233.611875,3139201
1938,MALACACHETA,Trade,7,15883.156746031746,3139201
1939,MANGA,Trade,16,212388.19642857145,3139300
1940,MANHUACU,Manufacturing,54,34440.300078685934,3139409
1941,MANHUACU,Construction,9,5790013.825168881,3139409
1942,MANHUACU,Trade,38,8183.382,3139409
1943,MANHUACU,Transport,63,356803.86,3139409
