,Municipio,Mediana_Ecoeficiencia
504,NOVA VENECIA,239.60219153365716
505,PANCAS,6049.984510377359
506,PEDRO CANARIO,77.10228627855058
507,PINHEIROS,10.912897406522937
508,PIUMA,4779.837251256282
509,PRESIDENTE KENNEDY,1049.2388186813187
510,RIO BANANAL,584.5554958013685
511,RIO NOVO DO SUL,137.37698934108528
512,SANTA LEOPOLDINA,135.30553912507702
513,SANTA MARIA DE JETIBA,1843.7665191603046
514,SANTA TERESA,132.2273
515,SAO DOMINGOS DO NORTE,90.60974576426524
516,SAO GABRIEL DA PALHA,1001.3986111111111
517,SAO JOSE DO CALCADO,185.51124866123732
518,SAO MATEUS,369.6895094494098
519,SAO ROQUE DO CANAA,707.9885312075984
520,SERRA,425.90044186528627
521,SOORETAMA,198.44576404761904
522,VARGEM ALTA,379.9218602761982
523,VENDA NOVA DO IMIGRANTE,237.8536786624121
524,VIANA,573.104788557214
525,VILA PAVAO,107.44927333333334
526,VILA VALERIO,490237.4860874794
527,VILA VELHA,1156.6188547619047
528,VITORIA,270.9944904375164
529,ABADIA DE GOIAS,21998.235478271883
530,ABADIANIA,1151.6588048520625
531,ACREUNA,13.082203664318024
532,ADELANDIA,805.8222145014126
533,AGUAS LINDAS DE GOIAS,280398.3000527615
534,ALEXANIA,2929.104
535,ALTO HORIZONTE,330.03222764705885
536,ALTO PARAISO DE GOIAS,79005.29180589053
537,ANAPOLIS,235.11008022040355
538,ANICUNS,141.74462786666666
539,APARECIDA DE GOIANIA,259.782567
540,ARAGOIANIA,235.07253329848132
541,ARUANA,89.22727187584114
542,AVELINOPOLIS,54858.76858487195
543,BARRO ALTO,409.86984835724945
544,BELA VISTA DE GOIAS,44.69768051750685
545,BOM JESUS DE GOIAS,24.65735897331864
546,BRAZABRANTES,896.8486913626228
547,BRITANIA,1393.3342944298247
548,BURITI ALEGRE,62.00018656716418
549,CABECEIRAS,56.296318932225915
550,CACHOEIRA ALTA,3143.508691267445
551,CACHOEIRA DE GOIAS,2.6253708157296067
552,CACHOEIRA DOURADA,226.72910256410256
553,CACU,483.0129789651276
554,CAIAPONIA,35.65257977823978
555,CALDAS NOVAS,123.46088205256976
556,CAMPINORTE,2.0754253596035297
557,CAMPO ALEGRE DE GOIAS,13.865658491042074
558,CAMPO LIMPO DE GOIAS,972.11395390625
559,CAMPOS BELOS,48220.1044
560,CATALAO,198.6370156310391
561,CATURAI,7326.651956755661
562,CERES,1604.432249297433
563,CEZARINA,1022.3983619592875
564,CHAPADAO DO CEU,15531.837557553956
565,CIDADE OCIDENTAL,81.62812580000451
566,COCALZINHO DE GOIAS,1497.0666009922043
567,CORUMBA DE GOIAS,2.5589140562248995
568,CORUMBAIBA,81.35251142936526
569,CRISTALINA,253.9622611111111
570,CRISTIANOPOLIS,2.9224220103986136
571,CRIXAS,366.0732530153528
572,CUMARI,13.151636707920794
573,DAMOLANDIA,435387.71977969917
574,DAVINOPOLIS,252.26639333333335
575,DIVINOPOLIS DE GOIAS,1837.5569286513687
576,DOVERLANDIA,410.50482012526606
577,EDEALINA,6.780260675
578,EDEIA,1385.5431833333334
579,FAZENDA NOVA,2337.0634409695163
580,FORMOSA,559.1410924670562
581,FORMOSO,414.81651991614257
582,GOIANAPOLIS,37.33087948426892
583,GOIANDIRA,120.11995
584,GOIANESIA,126.1733097654046
585,GOIANIA,369.50524921161485
586,GOIANIRA,553.0380444444444
587,GOIAS,26.929948705774017
588,GOIATUBA,67.13902720889409
589,GUAPO,85042.73225617215
590,GUARANI DE GOIAS,1120.212153319783
591,GUARINOS,1125.9328430664264
592,INDIARA,402.6562466666667
593,INHUMAS,340.80853191489365
594,IPAMERI,593.428
595,IPORA,14.58524
596,ITABERAI,151.38569584761095
597,ITAPACI,248.62539999999998
598,ITAPURANGA,8.129311909430873
599,ITAUCU,297.6017684234535
600,ITUMBIARA,369.49790012347376
601,JANDAIA,2728.5847897968824
602,JARAGUA,140.47820471795757
603,JATAI,1253.3679809097946
604,LAGOA SANTA,270.39359296292565
605,LEOPOLDO DE BULHOES,1273.827821126329
606,LUZIANIA,177.20776941919195
607,MARA ROSA,414.4568041237113
608,MINACU,623.2768571428571
609,MINEIROS,2216.0264238235172
610,MONTE ALEGRE DE GOIAS,93.27119125111741
611,MONTES CLAROS DE GOIAS,41.02520049117331
612,MONTIVIDIU,1741.25895377907
613,MONTIVIDIU DO NORTE,158.26605076923076
614,MORRINHOS,1489.580770138889
615,MOZARLANDIA,24.504562341750592
616,MUTUNOPOLIS,17.35284380952381
617,NAZARIO,282.3127863312461
618,NEROPOLIS,66.00962538461539
619,NIQUELANDIA,67.31261567900921
620,NOVA AURORA,384.8924457593688
621,NOVA VENEZA,232.66857664233578
622,NOVO GAMA,5.461354399999999
623,ORIZONA,40610.4241937698
624,OURO VERDE DE GOIAS,2409.62433
625,OUVIDOR,1097.197542053921
626,PADRE BERNARDO,45.379712737033515
627,PALMEIRAS DE GOIAS,112.40131993350636
628,PALMINOPOLIS,2658.795615281691
629,PARANAIGUARA,808676.4662498402
630,PARAUNA,185.95371239999997
631,PEROLANDIA,79.93601058823529
632,PETROLINA DE GOIAS,44.949399393326594
633,PILAR DE GOIAS,1951.823086316982
634,PIRACANJUBA,88.79710268149117
635,PIRANHAS,381.6448158333333
636,PIRENOPOLIS,97.1598204643166
637,PIRES DO RIO,2096.762419320718
638,PLANALTINA,3371.693809076537
639,PONTALINA,513.0203
640,PORANGATU,161.85598256537983
641,PORTEIRAO,3259.36658
642,PORTELANDIA,7.262986098785778
643,POSSE,457.01741666666663
644,QUIRINOPOLIS,225.55605480032418
645,RIALMA,182.48253305407843
646,RIO QUENTE,90.75595154461769
647,RIO VERDE,99.4538646
