,Municipio,Mediana_Ecoeficiencia
562,TAUA,1315.1753465346535
563,TIANGUA,2588.068515960247
564,TRAIRI,510.23735404603957
565,UBAJARA,314.39245907594716
566,UMIRIM,1802.1524946416355
567,URUBURETAMA,93.64283150082234
568,URUOCA,947.6847131410257
569,VARJOTA,26016.999999999996
570,VARZEA ALEGRE,1326.3474875
571,VICOSA DO CEARA,2198.662333333333
572,BRASILIA,1224.0239715277776
573,MUNICIPIO PROVISORIO,323.67341528775523
574,AFONSO CLAUDIO,2220.5959
575,AGUA DOCE DO NORTE,2653.480089548539
576,AGUIA BRANCA,4526.8910000000005
577,ALEGRE,1999.04964028777
578,ALFREDO CHAVES,6408.48
579,ALTO RIO NOVO,5279.5168
580,ANCHIETA,811.2519064629573
581,ARACRUZ,958.2755178184282
582,ATILIO VIVACQUA,1051.6441714285716
583,BAIXO GUANDU,461.51545
584,BARRA DE SAO FRANCISCO,1096.7461876832845
585,BOA ESPERANCA,2431.3746875
586,BOM JESUS DO NORTE,2999.7014285714286
587,BREJETUBA,26123.565244444442
588,CACHOEIRO DE ITAPEMIRIM,1319.1315416666666
589,CARIACICA,1893.2779655647382
590,CASTELO,1200.3538034952578
591,COLATINA,2575.570032840723
592,CONCEICAO DA BARRA,4136.1810125944585
593,CONCEICAO DO CASTELO,3286.44895
594,DIVINO DE SAO LOURENCO,14890.638265306123
595,DOMINGOS MARTINS,1167.5375993709415
596,DORES DO RIO PRETO,10609.431587895639
597,ECOPORANGA,990.0025018939393
598,FUNDAO,3939.730194472876
599,GOVERNADOR LINDENBERG,1736.8507222222222
600,GUACUI,2556.294418604651
601,GUARAPARI,3604.266921119593
602,IBATIBA,2371.587781124498
603,IBIRACU,3569.2013888888887
604,IBITIRAMA,28902.2191875
605,ICONHA,2058.7810208333335
606,IRUPI,5956.477282051283
607,ITAGUACU,1956.367735862478
608,ITAPEMIRIM,1765.1445785344815
609,ITARANA,5189.227182971014
610,IUNA,1380.369146666667
611,JAGUARE,3499.4880330578508
612,JERONIMO MONTEIRO,476.56946454413895
613,JOAO NEIVA,8511.139866666668
614,LARANJA DA TERRA,4775.061522633745
615,LINHARES,932.8268637566138
616,MANTENOPOLIS,22020.397214854114
617,MARATAIZES,2327.130053561755
618,MARECHAL FLORIANO,1817.6354383333332
619,MARILANDIA,5153.465
620,MIMOSO DO SUL,3882.728657894737
621,MONTANHA,569.9995
622,MUCURICI,13412.670833333334
623,MUNIZ FREIRE,1162.8357777777778
624,MUQUI,1475.8825
625,NOVA VENECIA,1303.3908333333334
626,PANCAS,3551.8613666666665
627,PEDRO CANARIO,4883.7391359447
628,PINHEIROS,969.1406796116505
629,PIUMA,1174.330678815261
630,PRESIDENTE KENNEDY,10929.664446323528
631,RIO BANANAL,1886.2467520167995
632,RIO NOVO DO SUL,2073.0787359586316
633,SANTA LEOPOLDINA,3527.0428333333334
634,SANTA MARIA DE JETIBA,3584.4910499999996
635,SANTA TERESA,1130.3861386138615
636,SAO DOMINGOS DO NORTE,1150.362125
637,SAO GABRIEL DA PALHA,2097.760416666667
638,SAO JOSE DO CALCADO,10290.024615384616
639,SAO MATEUS,1390.1510978303236
640,SAO ROQUE DO CANAA,1649.7023883733527
641,SERRA,922.996875
642,SOORETAMA,6240.699129667745
643,VARGEM ALTA,1122.0583069977426
644,VENDA NOVA DO IMIGRANTE,816.1693400316146
645,VIANA,908.8810231213872
646,VILA PAVAO,5005.567777777778
647,VILA VALERIO,3104.1240519480525
648,VILA VELHA,2287.261477777778
649,VITORIA,1246.5381288448393
650,ABADIA DE GOIAS,72186.81884824562
651,ABADIANIA,485.015359
652,ACREUNA,1095.4721541666665
